,State,MSA,Month,Monthly_Goals_Adds,YTD_Goals_Adds
411,FL,West Palm Beach-Boca Raton FL,2021-04-30,0.0,0.0
412,FL,West Palm Beach-Boca Raton FL,2021-05-31,0.0,0.0
413,FL,West Palm Beach-Boca Raton FL,2021-06-30,0.0,0.0
414,FL,West Palm Beach-Boca Raton FL,2021-07-31,0.0,0.0
415,FL,West Palm Beach-Boca Raton FL,2021-08-31,0.0,0.0
416,FL,West Palm Beach-Boca Raton FL,2021-09-30,0.0,0.0
417,FL,West Palm Beach-Boca Raton FL,2021-10-31,0.0,0.0
418,FL,West Palm Beach-Boca Raton FL,2021-11-30,0.0,0.0
419,FL,West Palm Beach-Boca Raton FL,2021-12-31,0.0,0.0
420,GA,Athens GA,2021-01-31,0.0,0.0
421,GA,Athens GA,2021-02-28,0.0,0.0
422,GA,Athens GA,2021-03-31,17.0,17.0
423,GA,Athens GA,2021-04-30,17.0,34.0
424,GA,Athens GA,2021-05-31,17.0,51.0
425,GA,Athens GA,2021-06-30,17.0,68.0
426,GA,Athens GA,2021-07-31,0.0,68.0
427,GA,Athens GA,2021-08-31,0.0,68.0
428,GA,Athens GA,2021-09-30,0.0,68.0
429,GA,Athens GA,2021-10-31,0.0,68.0
430,GA,Athens GA,2021-11-30,0.0,68.0
431,GA,Athens GA,2021-12-31,0.0,68.0
432,GA,Atlanta GA,2021-01-31,0.0,0.0
433,GA,Atlanta GA,2021-02-28,0.0,0.0
434,GA,Atlanta GA,2021-03-31,23.5,23.5
435,GA,Atlanta GA,2021-04-30,23.5,47.0
436,GA,Atlanta GA,2021-05-31,23.5,70.5
437,GA,Atlanta GA,2021-06-30,23.5,94.0
438,GA,Atlanta GA,2021-07-31,0.0,94.0
439,GA,Atlanta GA,2021-08-31,0.0,94.0
440,GA,Atlanta GA,2021-09-30,0.0,94.0
441,GA,Atlanta GA,2021-10-31,0.0,94.0
442,GA,Atlanta GA,2021-11-30,0.0,94.0
443,GA,Atlanta GA,2021-12-31,0.0,94.0
444,GA,Atlanta Suburbs GA,2021-01-31,0.0,0.0
445,GA,Atlanta Suburbs GA,2021-02-28,0.0,0.0
446,GA,Atlanta Suburbs GA,2021-03-31,5.0,5.0
447,GA,Atlanta Suburbs GA,2021-04-30,5.0,10.0
448,GA,Atlanta Suburbs GA,2021-05-31,5.0,15.0
449,GA,Atlanta Suburbs GA,2021-06-30,5.0,20.0
450,GA,Atlanta Suburbs GA,2021-07-31,0.0,20.0
451,GA,Atlanta Suburbs GA,2021-08-31,0.0,20.0
452,GA,Atlanta Suburbs GA,2021-09-30,0.0,20.0
453,GA,Atlanta Suburbs GA,2021-10-31,0.0,20.0
454,GA,Atlanta Suburbs GA,2021-11-30,0.0,20.0
